Project,Date,Species,Category ,Sample_Type,Sample_Subtype,Sample_Number,Depth,Average_reads_per_sample,Genes_Exon,Genes_Intron,Genes_Inex,Genes_Exon_Only,Genes_Intron_Only,Genes_Both,Total,Frac_Genes_Exon,Frac_Genes_Intron,Frac_Genes_Both,UMI_Exonic,UMI_Intronic,UMI_Inex,frac_inex_umi
Ines_Balf3,20200615,mouse,B,Cancer Cell,AML,16,53078855,3320000,13004,10760,16299,5539,3295,7465,16299,0.3,0.2,0.46,564427,138393,716526,0.21
Jost_2020,20200615,human,B,Cancer Cell,Mast Cell Tumor,47,178517479,3800000,16136,14029,20092,6063,3956,10073,20092,0.3,0.2,0.50,844310,209392,1009098,0.16
Mariggi_bulk_MM,20200917,mouse,B,Cancer Cell,AML,24,94184242,3920000,16958,12681,21886,9205,4928,7753,21886,0.4,0.2,0.35,730935,87212,813445,0.10
Anja_Bulk,20200615,human,B,Cancer Cell,AML,72,367524312,5100000,16915,17421,23727,6306,6812,10609,23727,0.3,0.3,0.45,536213,226825,765653,0.30
Alessandra_bulk,20200728,human,B,Cancer Cell,AML,36,188949807,5250000,17902,16131,24355,8224,6454,9678,24356,0.3,0.3,0.40,1705263,478377,2213546,0.23
UHMK1,20200615,human,B,Cancer Cell,AML,30,193649969,6450000,15951,15417,20396,4980,4446,10971,20397,0.2,0.2,0.54,2460357,485167,2931711,0.16
SF1,20200615,human,B,Cancer Cell,AML,48,311114082,6480000,17495,17237,23616,6379,6121,11116,23616,0.3,0.3,0.47,1552399,387650,1922947,0.19
Maryam,20181004,mouse,B,Cancer Cell,Breast/Lung Tumor Cell Line,24,159697008,6654042,16109,13942,20782,6840,4673,9269,20782,0.3,0.2,0.45,2131298,444135,2565736,0.17
Alessandra_2,20210119,human,B,Cancer Cell,AML,36,242069701,6720000,8628,3083,10026,6943,1398,1685,10026,0.7,0.1,0.17,57428,6895,64502,0.11
Maike_bulk,20201123,human,B,Cancer Cell,AML,48,343687027,7160000,20329,17710,26950,9240,6621,11089,26950,0.3,0.2,0.41,2413964,635285,3056800,0.21
GATA2,20200615,human,B,Cancer Cell,AML,24,175231123,7300000,19017,17602,24573,6972,5556,12046,24574,0.3,0.2,0.49,2425468,522129,2904592,0.16
Sophie,20180619,human,B,Cancer Cell,AML,90,667264509,7410000,30780,22284,38357,16074,7577,14707,38358,0.4,0.2,0.38,2655186,365921,2997550,0.11
Spiekermann_Sophie,20170713,human,B,Cancer Cell,AML,90,667264509,7414050,30780,22284,38057,15773,7277,15007,38057,0.4,0.2,0.39,2655186,365921,2997550,0.11
Enric_ZBTB7A_z3u2,20200615,human,B,Cancer Cell,AML,37,302458592,8170000,17899,15438,22229,6791,4330,11108,22229,0.3,0.2,0.50,2275883,392365,2664432,0.15
Sophie_Bulk,20180619,human,B,Cancer Cell,AML,99,1192954561,12100000,21743,19047,27306,8259,5563,13484,27306,0.3,0.2,0.49,3304665,1191187,4431165,0.25
EZH2_rev2,20200914,human,B,Cancer Cell,AML,11,151550105,13800000,23991,19659,30615,10956,6624,13035,30615,0.4,0.2,0.43,1977816,516988,2507980,0.21
Bingni,20210502,mouse,A,Cardiopulmonary,Endothelial Cell,11,61997694,5636154,18331,12997,22682,9685,4351,8646,22682,0.4,0.2,0.38,452803,108094,559417,0.19
Foxp2_Atlas_HEA,20210209,mouse,A,Cardiopulmonary,Heart,24,165797552,6908231,15392,8513,16648,8135,1256,7257,16648,0.5,0.1,0.44,2991790,72944,3067478,0.02
Foxp2_Atlas_LUN,20210209,mouse,A,Cardiopulmonary,Lung,24,177049706,7377071,18580,11888,20140,8252,1560,10328,20140,0.4,0.1,0.51,2297220,235524,2525928,0.09
Foxp2_Atlas_SMI,20210209,mouse,A,Digestive,Small Intestines ,24,142122775,5921782,17382,11602,19235,7633,1853,9749,19235,0.4,0.1,0.51,1968784,258936,2204667,0.11
Foxp2_Atlas_COL,20210209,mouse,A,Digestive,Colon,24,149444378,6226849,18119,11518,19584,8066,1465,10053,19584,0.4,0.1,0.51,2324318,186208,2487607,0.07
Foxp2_Atlas_LIV,20210209,mouse,A,Digestive,Liver,24,171165193,7131883,15672,9478,17104,7626,1432,8046,17104,0.4,0.1,0.47,3059222,127490,3176702,0.04
Michael_sept2020,20200915,mouse,A,Digestive,Liver,12,134321077,11193423,18256,10487,21138,10651,2882,7605,21138,0.5,0.1,0.36,3298310,191962,3491292,0.06
Kami_gCAMP,20210118,human,A,Immune,PBMC,10,32493987,3249399,16716,14304,22702,8398,5986,8318,22702,0.4,0.3,0.37,334012,139677,476715,0.30
Will_mouse_line,20210414,human,A,Immune,FL,34,120113718,3530000,8176,6878,12738,5860,4562,2316,12738,0.5,0.4,0.18,32528,17497,49986,0.35
Jost_2019,20190612,human,A,Immune,BMMNC,47,178517479,3798244,16136,14029,20092,6063,3956,10073,20092,0.3,0.2,0.50,844310,209392,1009098,0.16
Will_GC,20210427,human,A,Immune,B Cell,32,126302924,3950000,19258,14886,24673,9787,5415,9471,24673,0.4,0.2,0.38,1319719,150754,1480357,0.11
KatrinNov2020,20201130,mouse,A,Immune,CD4 T Cell,26,110175505,4237519,15556,10252,18548,8296,2992,7260,18548,0.4,0.2,0.39,661148,91030,760280,0.13
Kami_chast,20200615,human,A,Immune,Macrophage,189,834993304,4420000,9312,8286,13209,4923,3897,4389,13209,0.4,0.3,0.33,79047,43686,122081,0.35
DA_lane2_Bulk,20200615,mouse,A,Immune,T Cell,25,121011147,4840000,12351,11785,16486,4701,4135,7650,16486,0.3,0.3,0.46,656450,358475,1011342,0.35
Yuting_sept2020,20200915,mouse,A,Immune,CD4 T Cell,15,72791966,4852798,13415,6905,16127,9222,2712,4193,16127,0.6,0.2,0.26,1344806,72338,1409602,0.05
Raquel2020,20210118,mouse,A,Immune,B Cell,40,196257893,4906447,14848,8684,17700,9016,2852,5832,17700,0.5,0.2,0.33,311156,65039,381987,0.19
Kami_Myh11_2,20210430,mouse,A,Immune,Monocyte,9,44186913,4909657,5172,5274,9362,4088,4190,1084,9362,0.4,0.4,0.12,33789,12888,46603,0.27
Hundelshausen_macro,20210502,mouse,A,Immune,Megakaryocyte,14,73753980,5268141,7851,5820,11804,5984,3953,1867,11804,0.5,0.3,0.16,116326,26898,142025,0.18
Michael_EZH2_CD8,20210413,mouse,A,Immune,CD8 T Cell,10,53627688,5362769,17716,9904,20374,10470,2658,7246,20374,0.5,0.1,0.36,2753182,110626,2860232,0.04
Will_mouse_line2,20210415,human,A,Immune,FL,40,218417875,5460000,6658,5015,10560,5545,3902,1113,10560,0.5,0.4,0.11,21860,9676,34946,0.37
DA_lane1_Bulk,20200615,mouse,A,Immune,T Cell,16,87810387,5490000,10735,8780,14182,5402,3447,5333,14182,0.4,0.2,0.38,390166,154191,548080,0.29
Yuting_nov2020,20201130,mouse,A,Immune,CD4 T Cell,23,128115947,5570259,15627,11976,19986,8010,4359,7617,19986,0.4,0.2,0.38,901509,167042,1066079,0.15
Sandra,20180619,human,A,Immune,NA,83,471649567,5680000,13724,11847,17347,5500,3623,8224,17347,0.3,0.2,0.47,344655,155923,500578,0.31
Will_bulk4,20200626,human,A,Immune,FL,30,173289413,5780000,9839,10321,14953,4633,5114,5207,14954,0.3,0.3,0.35,72974,78604,154274,0.53
Beer_bulk_HS_EBV,20200914,human,A,Immune,B Cell,54,315568870,5840000,16154,13694,22112,8419,5959,7735,22113,0.4,0.3,0.35,836132,118243,936227,0.11
Yong,20210415,mouse,A,Immune,Macrophage,50,304634373,6092687,8205,3746,10166,6420,1961,1785,10166,0.6,0.2,0.18,73713,10132,83726,0.12
DC_reprocess_21,20210414,human,A,Immune,DC,31,196588639,6340000,18297,13699,22559,8860,4263,9437,22560,0.4,0.2,0.42,1420437,271109,1695214,0.16
Will_bulk2_2,20191227,human,A,Immune,FL,27,177007598,6560000,9113,7951,12712,4761,3599,4352,12712,0.4,0.3,0.34,67388,42333,108740,0.38
Foxp2_Atlas_SPL,20210209,mouse,A,Immune,Spleen,24,167265038,6969377,16178,12038,18835,6797,2657,9381,18835,0.4,0.1,0.50,1123878,326388,1424022,0.21
Michael_April_exp1_3,20190508,mouse,A,Immune,T Effector/Monocyte/Macrophage,39,281646648,7221709,14372,12068,18776,6708,4404,7664,18776,0.4,0.2,0.41,415141,155510,566621,0.27
Sophia_rox_artthromb_1,20210502,human,A,Immune,Nonclassical Monocyte,10,72959389,7295939,15676,15160,22805,7645,7129,8031,22805,0.3,0.3,0.35,516104,243798,758112,0.32
Will_cell_lines_hs,20200713,human,A,Immune,FL,21,153761335,7320000,19711,15980,25747,9767,6036,9944,25747,0.4,0.2,0.39,2775491,685586,3456828,0.20
Kami_pericyte,20210430,mouse,A,Immune,Pericyte,20,147775553,7388778,8146,5146,11276,6130,3130,2016,11276,0.5,0.3,0.18,58888,14306,73148,0.19
Kami_asympt_CD4,20210103,human,A,Immune,CD4 T Cell,61,453475416,7434023,13615,13511,19876,6365,6261,7250,19876,0.3,0.3,0.36,179999,141165,324770,0.45
Michael_NKT,20210118,mouse,A,Immune,NKT Cell,8,60576522,7572065,12476,8666,16605,7939,4129,4537,16605,0.5,0.2,0.27,156631,60440,216728,0.28
Laura_2019,20191118,zebrafish,A,Immune,Macrophage,20,152308641,7615432,16972,13442,20462,7020,3490,9952,20462,0.3,0.2,0.49,1672986,161080,1848200,0.09
Will_bulk2_1,20191227,human,A,Immune,FL,31,237700974,7670000,4310,7085,9753,2668,5443,1642,9753,0.3,0.6,0.17,48140,40191,91913,0.48
Sophia_rox_artthromb_3,20210502,human,A,Immune,Classical Monocyte,10,77154105,7715411,16038,14792,22904,8112,6866,7926,22904,0.4,0.3,0.35,491084,221964,711314,0.31
Kami_peri_macro,20210118,mouse,A,Immune,Macrophage,8,63964151,7995519,16406,11447,20321,8874,3915,7532,20321,0.4,0.2,0.37,680922,130476,806924,0.16
Michael_EZH2_2019,20191205,mouse,A,Immune,CD4 T Cell,9,72386086,8042898,17858,13079,20989,7910,3131,9948,20989,0.4,0.1,0.47,2704451,240463,2912509,0.07
Michael_june_2018,20180614,mouse,A,Immune,CD4 T Cell,11,89435464,8130497,12583,12488,18286,5798,5703,6785,18286,0.3,0.3,0.37,181556,132982,312245,0.42
Michael_April_exp4,20190508,mouse,A,Immune,Macrophage,24,200076477,8336520,15914,12495,19512,7017,3598,8897,19512,0.4,0.2,0.46,3875014,268950,4147086,0.07
Sophia_rox_artthromb_4,20210502,human,A,Immune,Nonclassical Monocyte,10,84192630,8419263,12781,14969,21519,6550,8738,6231,21519,0.3,0.4,0.29,649354,363742,1006100,0.35
Kami_asympt_NK,20210103,human,A,Immune,NK Cell,61,513908493,8424729,10998,12319,17659,5340,6661,5658,17659,0.3,0.4,0.32,72194,73267,144028,0.50
Kami_thrombi_mono,20210118,human,A,Immune,Monocyte,14,118480281,8462877,12692,10516,17915,7399,5223,5293,17915,0.4,0.3,0.30,219944,76638,296322,0.26
Sophia_rox_artthromb_2,20210502,human,A,Immune,Classical Monocyte,10,85455003,8545500,17137,15231,24062,8831,6925,8306,24062,0.4,0.3,0.35,619562,191606,809719,0.23
Kami_asympt_CD8,20210103,human,A,Immune,CD8 T Cell,61,526290640,8627715,15502,15781,22689,6908,7187,8594,22689,0.3,0.3,0.38,173058,186307,353092,0.51
Nicolai_kuppfer,20210502,mouse,A,Immune,Kuppfer Cell,7,61042871,8720410,7666,7689,13348,5659,5682,2007,13348,0.4,0.4,0.15,92278,22298,114536,0.19
AML_Aplasie_downsampled,20191227,human,A,Immune,AML,20,178814900,8940000,9816,12977,17695,4718,7879,5098,17695,0.3,0.4,0.29,99198,84539,197190,0.50
Helena_Dx_Rel,20191227,human,A,Immune,AML,32,289590651,9050000,13900,14859,20750,5891,6850,8009,20750,0.3,0.3,0.39,210185,153093,358296,0.41
Kami_asympt_monocyte,20210103,human,A,Immune,Monocyte,61,630918344,10342924,16394,16083,23586,7503,7192,8891,23586,0.3,0.3,0.38,336456,248703,562609,0.40
Michael_bulk_fall,20190103,mouse,A,Immune,CD4 T Cell,81,855843229,10565966,16819,15731,22874,7143,6055,9676,22874,0.3,0.3,0.42,850164,428217,1293394,0.34
Kami_neutrophil,20200915,human,A,Immune,Neutrophil,30,333866108,11128870,9026,11545,16194,4649,7168,4377,16194,0.3,0.4,0.27,119156,131017,247988,0.52
Raquel2019,20191118,mouse,A,Immune,B Cell,12,134183422,11181952,14932,13595,20002,6407,5070,8525,20002,0.3,0.3,0.43,400606,216112,610824,0.34
DA_Bcl6_i7,20200615,mouse,A,Immune,T Cell,10,181413918,18100000,13541,12886,18566,5681,5026,7860,18567,0.3,0.3,0.42,1167876,413326,1560973,0.25
Dopaloops_WT_DLS,20210602,mouse,A,Nervous,Striatum,94,372405310,3961759,17297,13136,20942,7806,3645,9491,20942,0.4,0.2,0.45,715505,232070,942622,0.24
Edbauer_Bulk_Heni,20190819,mouse,A,Nervous,Hippocampus/Cortex/Brainstem,120,497208266,4143402,16986,11396,20046,8650,3060,8336,20046,0.4,0.2,0.42,686832,113622,793238,0.13
