distance_to_3_end	read_number
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	1.53846153846154
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	8.25
51	0
52	4.5
53	0
54	6
55	0
56	0
57	1.53846153846154
58	2.25
59	0
60	0
61	12.3333333333333
62	0
63	0
64	0
65	8.51654560129136
66	45.785419382877
67	8.93785310734463
68	1
69	13.4067796610169
70	4.46892655367232
71	0
72	5.52775008308408
73	4.46892655367232
74	4.46892655367232
75	1.11111111111111
76	26.8135593220339
77	2.15497737556561
78	0
79	0
80	0
81	0
82	4.46892655367232
83	4.46892655367232
84	5.56508039982616
85	0
86	1.625
87	1.05882352941176
88	0
89	0
90	0
91	3
92	0
93	0
94	0
95	6.5
96	0
97	1.09615384615385
98	0
99	0
100	2.25
101	0
102	0.7
103	10.0340069534985
104	6.46892655367232
105	0
106	23.3900873138161
107	4.46892655367232
108	0
109	8.93785310734463
110	0.344262295081967
111	0
112	0
113	9.2821154024266
114	0
115	0
116	0
117	4.46892655367232
118	1.00819672131148
119	0
120	0
121	5.96892655367232
122	0
123	4.46892655367232
124	0
125	0.344262295081967
126	17.8757062146893
127	0
128	0
129	0
130	94.8474576271186
131	0.733333333333333
132	0
133	1.91259711431743
134	0
135	16.5832502492522
136	40.2203389830509
137	0.360824742268041
138	0
139	0
140	13.4067796610169
141	5.52775008308408
142	17.8757062146893
143	5.52775008308408
144	0
145	0
146	0
147	8.51654560129136
148	0
149	4.46892655367232
150	1
151	0
152	1.53846153846154
153	0.344262295081967
154	14.9452411994785
155	13.4067796610169
156	9.93785310734463
157	1
158	29.3145674088845
159	4.46892655367232
160	4.46892655367232
161	0
162	0
163	1
164	1.11764705882353
165	0
166	13.4067796610169
167	0
168	0
169	10.4763146458062
170	1
171	4.46892655367232
172	0
173	0
174	0
175	0
176	0
177	0
178	13.4067796610169
179	5.54892655367232
180	0
181	0
182	4.46892655367232
183	0
184	0
185	0
186	0
