distance_to_3_end	read_number
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	4.18769230769231
51	0
52	3.11242603550296
53	0
54	0
55	1.06666666666667
56	5.06666666666667
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	1.54666666666667
65	0
66	0
67	0
68	5
69	0
70	3.33333333333333
71	7.66666666666667
72	0
73	1.88
74	2.08
75	5.09333333333333
76	0
77	0
78	0.502702702702703
79	0
80	2.66666666666667
81	0
82	1
83	0
84	0.574850299401198
85	0
86	5.97333333333333
87	0
88	0
89	0
90	1
91	0
92	4
93	0.88
94	1.09090909090909
95	0.88
96	1.05621301775148
97	3.30769230769231
98	0
99	2.25
100	0
101	0
102	1
103	0
104	1.75
105	0
106	0
107	0
108	1.75
109	3.33333333333333
110	0
111	1.75
112	0
113	0.88
114	0
115	0
116	0
117	1.02222222222222
118	0
119	0.88
120	0
121	0
122	0
123	1.5
124	0
125	0
126	0
127	0
128	1.05172413793103
129	0
130	3.83333333333333
131	0
132	0
133	0
134	1.66666666666667
135	0
136	0
137	3.33333333333333
138	1.75
139	0
140	0
141	1
142	0
143	0
144	0
145	0.574850299401198
146	1.2
147	5.07692307692308
148	0
149	0
150	0
151	2.26384535005225
152	30.5
153	0
154	0
155	0.864864864864865
156	0
157	0
158	1.11111111111111
159	1
160	3.7183908045977
161	0
162	0
163	0
164	1.01960784313725
165	0
166	0
167	0.833333333333333
168	2
169	3.30769230769231
170	2
171	2.38505747126437
172	2.01960784313725
173	0
174	0
175	0
176	5.07692307692308
177	0
178	0
179	20
180	0
181	1.98922413793103
182	1.05172413793103
183	0
184	3.30769230769231
185	0
186	0
187	0
188	0
189	0.9375
190	1
191	0
192	0
193	1
194	0
195	1.02222222222222
196	0
197	2.66666666666667
198	1.2
199	6.9
200	0
201	1.2
202	0
203	0
204	0
205	1.01960784313725
206	3
207	0
208	0
209	1
210	1.25
