distance_to_3_end	read_number
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	42.7142857142857
43	43.6153846153846
44	0
45	0
46	0
47	0
48	0
49	86.6785714285714
50	1
51	174.299696048632
52	259.485714285714
53	0
54	1
55	182.020105820106
56	182.413177339901
57	0
58	0
59	4.28189655172414
60	1.16
61	0
62	0
63	2.5
64	0
65	0
66	63.6568965517241
67	0
68	0.52
69	0
70	0
71	0
72	0
73	0
74	1.16
75	0.52
76	0
77	0
78	2.875
79	0
80	0
81	0
82	0
83	0
84	0
85	0.52
86	5.75
87	0
88	0
89	0
90	0
91	2.875
92	0.52
93	0
94	0.52
95	0
96	0
97	0
98	1
99	15.25
100	0
101	1.52
102	3.71428571428571
103	2.01730225988701
104	0
105	2.57627118644068
106	0
107	1
108	0
109	4
110	0
111	0
112	0
113	0
114	0
115	0
116	6.28
117	0
118	76.25
119	0
120	0
121	0
122	0
123	1.42105263157895
124	0
125	1.56
126	1.85714285714286
127	0
128	0.52
129	3
130	0
131	1
132	15.56
133	1
134	3.2
135	0.52
136	0
137	0
138	0
139	1.2
140	0
141	3.02955665024631
142	0
143	0
144	1
145	0
146	45.4725274725275
147	16.45
148	0
149	1.2
150	0
151	0
152	0
153	0
154	0
155	0
156	0
157	0
158	0
159	0
160	0
161	0
162	2.4
163	0
164	0
165	0
166	0
167	1
168	0
169	0
170	0
171	0
172	1.69241379310345
173	0
174	0
175	0
176	0
177	0
178	0
179	0.799279279279279
180	0
181	0
182	2
183	0
184	0
185	0
186	0
187	0
188	0
189	1
190	0
191	1.25
192	0
193	5.28
194	0
195	0
196	0
197	0
198	0
199	0
200	0
201	0
202	0
203	0
204	0
205	0
206	0
207	2
208	0
209	0
210	0
211	43.6153846153846
212	0
213	0
214	0
215	0
216	0
217	0
218	0
219	0
220	0
221	0.727272727272727
222	0
223	0
224	0
225	1.85714285714286
226	1
227	348.923076923077
228	0
229	0
230	43.6153846153846
231	0
