distance_to_3_end	read_number
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	1.10344827586207
45	1.10344827586207
46	0
47	0
48	0
49	0.666666666666667
50	1.14705882352941
51	0
52	0
53	2.47381864623244
54	0
55	5.14285714285714
56	0
57	0.411764705882353
58	0
59	57.6
60	0
61	0
62	0
63	10.4959893048128
64	0
65	0
66	0.666666666666667
67	2
68	1.10344827586207
69	0
70	1.73635209479475
71	3.54022988505747
72	0
73	0
74	1.375
75	0
76	2.20689655172414
77	0
78	1.33333333333333
79	0
80	0
81	1.37037037037037
82	0
83	7.58024691358025
84	1.20987654320988
85	1.37037037037037
86	0
87	0
88	0
89	0
90	0
91	1.10344827586207
92	0
93	1.01935483870968
94	1.50344827586207
95	1.33333333333333
96	0
97	0
98	0
99	3.39756592292089
100	0.395833333333333
101	0
102	0
103	0.903225806451613
104	0
105	2.41975308641975
106	2
107	0
108	0
109	5.51724137931035
110	0
111	0
112	0
113	0.395833333333333
114	0
115	0
116	0
117	3
118	0
119	0
120	1.5
121	0
122	0
123	0.451612903225806
124	0
125	0
126	0
127	1.10344827586207
128	0
129	0
130	1.35483870967742
131	0
132	9
133	2.4880174291939
134	2.74074074074074
135	6.1788451012589
136	0
137	0.892857142857143
138	0
139	0
140	0
141	0
142	1.10344827586207
143	0
144	0
145	0
146	0
147	0
148	0
149	0
150	0
151	2.00667408231368
152	0
153	0
154	0
155	0
156	0
157	1
158	0
159	0
160	0
161	0
162	0
163	2.41975308641975
164	1.10344827586207
165	0
166	1.10344827586207
167	1.80344827586207
168	2.41975308641975
169	0
170	0
171	3.55555555555556
172	2
173	0
174	0
175	0
176	0
177	0
178	0
179	0
180	0
181	0
182	0
183	3.43810436051815
184	2.72520908004779
185	0
186	0
187	0
188	0
189	1.37037037037037
190	0
191	0
192	0
193	0
194	0
195	0
196	0
197	0
198	1.10344827586207
199	0
200	2.74074074074074
201	0
202	0
203	0
204	0
