distance_to_3_end	read_number
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	2
54	0
55	0
56	0
57	0
58	5.5
59	0
60	0
61	0
62	1.42307692307692
63	8.13235294117647
64	1
65	0
66	0
67	0
68	0
69	2.516
70	0
71	0
72	2
73	0
74	0.903225806451613
75	1.27472527472527
76	0
77	0
78	0
79	0
80	0
81	0.903225806451613
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	1.2
94	0
95	0
96	0
97	0
98	0
99	0
100	0
101	0
102	1.5
103	0
104	0
105	0
106	0
107	1.016
108	0
109	0
110	3.525
111	0
112	0
113	0
114	0
115	0
116	0
117	0
118	0
119	0
120	0
121	0
122	0
123	0
124	0
125	0
126	2
127	0
128	0
129	1
130	3.30672527472527
131	0
132	0
133	0
134	0
135	0
136	0
137	0
138	0
139	0.615384615384615
140	0
141	0
142	0
143	24
144	0
145	0
146	0
147	0.666666666666667
148	1.625
149	0
150	0.75
151	0
152	0
153	0
154	0
155	0
156	19.0888888888889
157	0
158	0
159	0
160	0
161	0
162	0
163	0
164	0
165	0
166	0
167	0
168	2
169	0
170	1.2
171	0
172	1
173	0
174	0
175	0
176	0
177	0
178	0
179	0
180	3.84615384615385
181	1.81563720884229
182	0
183	0
184	0
185	0
186	0
187	0
188	0
189	0
190	0
191	0
192	0
193	0
194	0
195	0
196	0
197	0
198	0
199	0
200	0
201	0.335616438356164
202	0
203	1.33333333333333
204	0
205	2
206	3.525
207	0
208	0
209	0
210	0
211	0.671232876712329
212	1.69387755102041
213	0
214	0
215	0
216	0
217	1.5
218	90.4444444444444
219	0
220	1.5
221	0
222	0
223	0
224	0
225	0
226	0
227	0
228	0
229	0
230	14.2647058823529
231	0
232	0
233	0
234	0
235	6
236	0
237	0
238	1.42307692307692
239	0.35
240	0
241	0
242	0
243	0
244	0
