distance_to_3_end	read_number
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0.85
36	0.85
37	0.85
38	0
39	0
40	0
41	0
42	0.85
43	0.388372093023256
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	1.36363636363636
60	0.80952380952381
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	1.35714285714286
73	0
74	1
75	0
76	0
77	0
78	1
79	0
80	0
81	0
82	8.66666666666667
83	0
84	0.722222222222222
85	1.89473684210526
86	0
87	1.22222222222222
88	1
89	0
90	0
91	0
92	0
93	0
94	0.678571428571429
95	0
96	0
97	0
98	3.44
99	0
100	0
101	1.89473684210526
102	0
103	3.44
104	3.44
105	0
106	0
107	0
108	0
109	4.33333333333333
110	0
111	0
112	0
113	0
114	0
115	0
116	0
117	3.44
118	0
119	0
120	0
121	0
122	0
123	0
124	0
125	0
126	0.4375
127	0
128	0.4375
129	0
130	1
131	0
132	1.89473684210526
133	0
134	0
135	2
136	0
137	0
138	0.947368421052632
139	0
140	0
141	0
142	0
143	0
144	0
145	0
146	1
147	0
148	0
149	3.44
150	0
151	0
152	0
153	0
154	0
155	0
156	4.44
157	0
158	0
159	0
160	0
161	3.44
162	0
163	1.89473684210526
164	0.678571428571429
165	0
166	0
167	0.80952380952381
168	7.5
169	0.7
170	2
171	0
172	0
173	0
174	0
175	0
176	0
177	1.36363636363636
178	0
179	0
180	0
181	0
182	3.51378446115288
183	4.4
184	0
185	0
186	0
187	0
188	2.72727272727273
189	5.25714285714286
190	1.36363636363636
191	0
192	1
193	0
194	7.28611053325012
195	0
196	0
197	0
198	3
199	1.89473684210526
200	0
201	0
202	3.09473684210526
203	2.72727272727273
204	1
205	0
206	0
207	1.89473684210526
208	0
209	1
210	0
211	0
212	0
213	0
214	0
215	0
216	0.5625
217	0
218	0
219	0
220	0
221	0
222	1.25
223	0
224	5.16
225	0
226	0
227	0.776744186046512
