distance_to_3_end	read_number
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	1
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	3
47	0
48	0
49	1.57843137254902
50	0
51	11.3233594015641
52	0
53	0
54	0
55	1.87878787878788
56	0
57	0.753623188405797
58	0
59	1.06818181818182
60	0
61	0
62	7
63	0
64	0
65	0
66	0
67	1.58695652173913
68	0.753623188405797
69	1.18181818181818
70	1
71	0
72	0
73	1
74	0.57843137254902
75	0.888888888888889
76	0
77	3
78	7.66666666666667
79	0.57843137254902
80	0
81	0
82	0
83	0
84	0.833333333333333
85	0.57843137254902
86	0
87	1
88	0
89	0
90	1.77777777777778
91	0
92	0
93	0
94	1.06818181818182
95	0
96	4
97	0
98	0
99	0
100	0
101	3
102	0
103	0.57843137254902
104	0
105	1.50724637681159
106	0
107	0
108	0
109	0
110	0
111	2.06818181818182
112	0
113	2.12121212121212
114	0.5
115	0
116	0
117	0
118	0
119	1.50724637681159
120	1.18181818181818
121	0
122	1
123	0.753623188405797
124	0
125	0
126	0
127	2.56060606060606
128	0
129	0
130	1.88888888888889
131	1.5625
132	0
133	0
134	0
135	0
136	1.5
137	0
138	0.57843137254902
139	1.5
140	1.18181818181818
141	0
142	0
143	4.09090909090909
144	0.57843137254902
145	0.885057471264368
146	0
147	0
148	4.59016393442623
149	7.2
150	1.06818181818182
151	1
152	0
153	0
154	0
155	0
156	0.351351351351351
157	0
158	2.13333333333333
159	0
160	3
161	1.06060606060606
162	0
163	5.87878787878788
164	0
165	0
166	0
167	0
168	0
169	3
170	1
171	9.5598609041232
172	1.41195741195741
173	1.41176470588235
174	4.59016393442623
175	0.888888888888889
176	1.57843137254902
177	0
178	0.57843137254902
179	5.3030303030303
180	0
181	2.12727272727273
182	0
183	3
184	4.25882352941176
185	0
186	0
187	0
188	0
189	4.57142857142857
190	0
191	0
192	0
193	0
194	0
195	3
196	0
197	1.07692307692308
198	0.833333333333333
199	0
200	0
201	0
