distance_to_3_end	read_number
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	1
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	1.25
50	11
51	1.86206896551724
52	0
53	0
54	1.8
55	1.02777777777778
56	0
57	1.23076923076923
58	0
59	1.23529411764706
60	0
61	3.15686274509804
62	0
63	0
64	0
65	0
66	1
67	3.25
68	2
69	0
70	0
71	0
72	0
73	0
74	0.964467005076142
75	1.23076923076923
76	0
77	0
78	0
79	0
80	1
81	1.23529411764706
82	1.8974358974359
83	3
84	0.4
85	1.86206896551724
86	0
87	0
88	2
89	0
90	0
91	0
92	0
93	0
94	4.51307189542484
95	0
96	1.86206896551724
97	0
98	91.304347826087
99	0
100	5.25
101	0
102	0
103	0
104	1
105	0
106	0
107	1.33333333333333
108	8.20531400966184
109	14.5565134099617
110	0
111	2.32491389207807
112	0
113	1.19642857142857
114	0
115	0.666666666666667
116	0
117	0
118	0
119	0
120	0
121	0
122	0
123	0
124	0
125	0
126	1
127	1.86206896551724
128	0
129	8.64705882352941
130	0
131	0
132	0
133	3.72413793103448
134	1.23529411764706
135	0
136	0
137	1.02777777777778
138	0
139	0
140	1.86206896551724
141	0
142	0
143	1.86206896551724
144	7.25287356321839
145	3.72413793103448
146	0
147	1.86206896551724
148	0
149	0
150	0
151	0
152	0
153	2
154	1.23076923076923
155	1.25
156	0
157	0
158	0
159	1.23529411764706
160	1.23076923076923
161	0
162	0
163	0
164	0
165	7.19117647058824
166	1.86206896551724
167	0
168	0
169	1.23529411764706
170	1
171	0
172	0
173	0
174	0
175	3.03438395415473
176	1.51719197707736
177	0
178	0
179	1.23076923076923
180	0
181	1.86206896551724
182	0
183	0
184	0
185	3.86206896551724
186	0
187	36.4126074498567
188	27.3094555873925
189	1.23076923076923
190	0
191	7.58595988538682
192	4.55157593123209
193	0
194	1.51719197707736
195	3.03438395415473
196	0
197	1.51719197707736
198	3.03438395415473
199	12.1375358166189
