distance_to_3_end	read_number
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	14
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	5
59	0
60	0
61	0
62	0
63	1.14893617021277
64	0.554054054054054
65	0.777777777777778
66	0
67	0
68	0
69	0
70	0
71	0.554054054054054
72	0
73	0
74	2.10810810810811
75	0
76	0
77	0.9
78	0
79	0.666666666666667
80	0
81	0
82	0
83	0
84	0.690909090909091
85	0
86	0
87	0
88	5.6
89	0
90	5.07777777777778
91	0
92	1.14893617021277
93	0
94	0.554054054054054
95	1.5
96	0
97	0.554054054054054
98	0
99	0
100	1.2
101	1
102	0
103	1.5
104	2.51257253384913
105	0
106	0
107	0
108	2.29787234042553
109	0
110	0
111	0
112	0
113	0
114	0
115	0.554054054054054
116	0
117	0
118	0
119	0
120	0
121	0
122	0
123	0
124	0
125	5.5
126	2.38518518518519
127	0
128	0
129	1.31506849315068
130	0.9
131	0
132	0
133	0.554054054054054
134	0
135	0
136	0
137	0
138	1.17905405405405
139	0
140	0
141	0
142	0
143	0.554054054054054
144	0
145	0
146	1.5
147	0
148	0
149	0
150	0.625
151	5.05555555555556
152	0
153	0
154	0
155	1.07692307692308
156	0
157	0
158	0
159	0.525773195876289
160	0
161	2.29787234042553
162	0
163	0
164	1.03636363636364
165	0
166	0
167	0
168	0
169	0
170	0
171	0
172	0
173	2.77777777777778
174	0
175	0
176	0
177	1.31578947368421
178	0
179	2.63157894736842
180	1
181	0
182	0
183	0
184	1.10810810810811
185	2.23649635036496
186	0
187	0
188	1.07692307692308
189	0
190	0
191	1.31578947368421
192	0
193	1.31578947368421
194	0
195	0
196	0
197	0
198	3.31578947368421
199	0
200	0
201	0
202	0
203	0.7
204	1.03636363636364
205	0
206	0
207	0
208	0
209	0
210	0
211	2.14893617021277
212	0
213	0
214	0
215	0
216	0
217	3
218	0
219	0
220	0
