distance_to_3_end	read_number
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0.588235294117647
51	1.60923623445826
52	1
53	0
54	0
55	0.588235294117647
56	1.53641207815275
57	0.536412078152753
58	0.536412078152753
59	0.5
60	1
61	0
62	4.07142857142857
63	0
64	0
65	0
66	2.54545454545455
67	0
68	3.60913935088003
69	0
70	3.07142857142857
71	1.8
72	0
73	65.9246473722704
74	0
75	0.536412078152753
76	0
77	0
78	2
79	1.07282415630551
80	1
81	0.536412078152753
82	0
83	0.5
84	112.8
85	2.07142857142857
86	19.7013955848769
87	0
88	1.82282415630551
89	2.68206039076377
90	0
91	2.07142857142857
92	0
93	1
94	0
95	2.525
96	0
97	1.60923623445826
98	0
99	0
100	0
101	2.88196350718553
102	0
103	0
104	0
105	0
106	2.54385964912281
107	3.50877192982456
108	0
109	3.82673465879791
110	0
111	1.60923623445826
112	2.19782415630551
113	1.80913935088003
114	0
115	0
116	0
117	13.4103019538188
118	2.03641207815275
119	2.14564831261101
120	0.536412078152753
121	0
122	0
123	1
124	0.536412078152753
125	2.32588576236328
126	7.36132961177366
127	0
128	0
129	2.82212636386704
130	2.26785714285714
131	0.536412078152753
132	0
133	0
134	1.07282415630551
135	8.11803128401994
136	0
137	0
138	0
139	0
140	2.27272727272727
141	0
142	1.27272727272727
143	0
144	0
145	0.827586206896552
146	0
147	0
148	3.29032258064516
149	0
150	1.14285714285714
151	0
152	1.4
153	0.588235294117647
154	0
155	0
156	2
157	0.588235294117647
158	0
159	1.01754385964912
160	0.666666666666667
161	6
162	0
163	1.4
164	0
165	0
166	2.54545454545455
167	0
168	0
169	0
170	2.82142857142857
171	0
172	0.508771929824561
173	2
174	4.17647058823529
175	0
176	0
177	0
178	0
179	0
180	0
181	0
182	0.558558558558559
183	0
184	0
185	0
186	0
187	2.27272727272727
188	3.07142857142857
189	0
190	0
