SpikeID	GC	Length
ERCC-00002	0.513666352497644	1061
ERCC-00003	0.326490713587488	1023
ERCC-00004	0.344168260038241	523
ERCC-00009	0.472560975609756	984
ERCC-00012	0.509054325955734	994
ERCC-00013	0.428217821782178	808
ERCC-00014	0.44200306591722	1957
ERCC-00016	0.484597156398104	844
ERCC-00017	0.514084507042254	1136
ERCC-00019	0.487577639751553	644
ERCC-00022	0.472703062583222	751
ERCC-00024	0.462686567164179	536
ERCC-00025	0.501504513540622	1994
ERCC-00028	0.506194690265487	1130
ERCC-00031	0.478031634446397	1138
ERCC-00033	0.327893175074184	2022
ERCC-00034	0.491658488714426	1019
ERCC-00035	0.513274336283186	1130
ERCC-00039	0.489189189189189	740
ERCC-00040	0.526881720430108	744
ERCC-00041	0.453654188948307	1122
ERCC-00042	0.391984359726295	1023
ERCC-00043	0.327468230694037	1023
ERCC-00044	0.5	1156
ERCC-00046	0.348659003831418	522
ERCC-00048	0.476814516129032	992
ERCC-00051	0.343065693430657	274
ERCC-00053	0.311827956989247	1023
ERCC-00054	0.372262773722628	274
ERCC-00057	0.497551420176298	1021
ERCC-00058	0.501760563380282	1136
ERCC-00059	0.48	525
ERCC-00060	0.311663479923518	523
ERCC-00061	0.500880281690141	1136
ERCC-00062	0.30791788856305	1023
ERCC-00067	0.472049689440994	644
ERCC-00069	0.502198768689534	1137
ERCC-00071	0.484423676012461	642
ERCC-00073	0.470978441127695	603
ERCC-00074	0.346743295019157	522
ERCC-00075	0.362658846529814	1023
ERCC-00076	0.496884735202492	642
ERCC-00077	0.32967032967033	273
ERCC-00078	0.500503524672709	993
ERCC-00079	0.493788819875776	644
ERCC-00081	0.48689138576779	534
ERCC-00083	0.345401174168297	1022
ERCC-00084	0.503018108651911	994
ERCC-00085	0.485781990521327	844
ERCC-00086	0.322549019607843	1020
ERCC-00092	0.501779359430605	1124
ERCC-00095	0.37236084452975	521
ERCC-00096	0.509485094850949	1107
ERCC-00097	0.361376673040153	523
ERCC-00098	0.514435695538058	1143
ERCC-00099	0.413333333333333	1350
ERCC-00104	0.327398615232443	2022
ERCC-00108	0.490215264187867	1022
ERCC-00109	0.455223880597015	536
ERCC-00111	0.470824949698189	994
ERCC-00112	0.470950704225352	1136
ERCC-00113	0.504761904761905	840
ERCC-00116	0.501255650426921	1991
ERCC-00117	0.511443661971831	1136
ERCC-00120	0.483208955223881	536
ERCC-00123	0.356164383561644	1022
ERCC-00126	0.505366726296959	1118
ERCC-00130	0.458923512747875	1059
ERCC-00131	0.474708171206226	771
ERCC-00134	0.313868613138686	274
ERCC-00136	0.415295256534366	1033
ERCC-00137	0.495344506517691	537
ERCC-00138	0.3291015625	1024
ERCC-00142	0.498985801217039	493
ERCC-00143	0.485969387755102	784
ERCC-00144	0.455390334572491	538
ERCC-00145	0.443378119001919	1042
ERCC-00147	0.364613880742913	1023
ERCC-00148	0.48582995951417	494
ERCC-00150	0.46971736204576	743
ERCC-00154	0.500931098696462	537
ERCC-00156	0.489878542510121	494
ERCC-00157	0.501472031403337	1019
ERCC-00158	0.342745861733203	1027
ERCC-00160	0.456258411843876	743
ERCC-00162	0.361376673040153	523
ERCC-00163	0.465930018416206	543
ERCC-00164	0.370841487279843	1022
ERCC-00165	0.5	872
ERCC-00168	0.341796875	1024
ERCC-00170	0.337243401759531	1023
ERCC-00171	0.477227722772277	505
