distance_to_3_end	read_number
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	1.25
50	0
51	1.40740740740741
52	1.40740740740741
53	2
54	1.41622574955908
55	0
56	0
57	0
58	0
59	1.77675840978593
60	0
61	0
62	4.88624338624339
63	2.81481481481481
64	0
65	0
66	1.25217391304348
67	1
68	0
69	2.50434782608696
70	2.07142857142857
71	0.428571428571429
72	3.2
73	5.18416581719334
74	0
75	1.40740740740741
76	19.9722222222222
77	0
78	0
79	0
80	1
81	0
82	0
83	0
84	0
85	2.07142857142857
86	12.4285714285714
87	0.285714285714286
88	1
89	0
90	1
91	2.07142857142857
92	0
93	0
94	0
95	3.025
96	0
97	0
98	0
99	0.794871794871795
100	2.5
101	19.9722222222222
102	1.15201465201465
103	0
104	0
105	0
106	0
107	3.43103448275862
108	0
109	1.35714285714286
110	3
111	0
112	0
113	0
114	2
115	0
116	0
117	0
118	0
119	0
120	0.714285714285714
121	3
122	2
123	1.40740740740741
124	0
125	0
126	0
127	0
128	0
129	0
130	0
131	3.40740740740741
132	1.25
133	0
134	0
135	0.722222222222222
136	0
137	2.5
138	0
139	0
140	0
141	0
142	1.78571428571429
143	0
144	0
145	0
146	2
147	0
148	0
149	2.25
150	0
151	1.25
152	1.4
153	3.18074534161491
154	1.14285714285714
155	0
156	0
157	0
158	0
159	0
160	0
161	1
162	1.40740740740741
163	1.4
164	1.40740740740741
165	2.5
166	0
167	0.357142857142857
168	0
169	1.77675840978593
170	2.07142857142857
171	5.41304347826087
172	0
173	0
174	19.9722222222222
175	0
176	2.5
177	0
178	1
179	0.357142857142857
180	5.41304347826087
181	0
182	0.558558558558559
183	0
184	1.40740740740741
185	0
186	3.40740740740741
187	0
188	2.86630036630037
189	0
190	0.5
191	0
192	0
193	1.4
194	0
195	0
196	0.384615384615385
197	0
198	0
199	2.54285714285714
200	80.8888888888889
201	1.2
202	0
203	0
