distance_to_3_end	read_number
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0.663265306122449
51	5.72619047619048
52	0
53	12.4331195058209
54	0.923076923076923
55	0
56	0.693989071038251
57	0.693989071038251
58	0
59	4.26190476190476
60	0
61	4.08333333333333
62	0
63	0
64	28.9090909090909
65	0
66	0
67	0
68	0
69	11
70	1
71	0.693989071038251
72	0
73	0.693989071038251
74	0
75	0.928571428571429
76	0
77	0
78	0
79	0
80	0
81	0.2
82	0.663265306122449
83	0
84	5.66666666666667
85	0
86	0.392156862745098
87	0
88	0
89	13.4664031620553
90	0
91	2
92	2
93	0.693989071038251
94	0
95	0.894736842105263
96	0
97	0
98	1
99	0
100	0
101	0
102	0.663265306122449
103	0
104	0
105	0
106	0
107	0
108	0
109	0
110	8.45070422535211
111	8.45070422535211
112	1.71428571428571
113	0
114	1.72727272727273
115	0
116	0
117	0
118	1
119	1
120	0
121	0
122	0
123	0
124	0
125	0
126	1.5
127	0
128	0
129	3.58441558441558
130	4
131	0
132	0
133	0
134	0.693989071038251
135	3
136	0
137	0
138	0.663265306122449
139	1.08333333333333
140	0
141	1
142	2.78571428571429
143	0
144	0
145	1.66326530612245
146	0
147	0.693989071038251
148	0
149	0
150	1.3879781420765
151	0
152	0
153	0
154	0
155	0
156	0
157	2
158	0.693989071038251
159	0
160	0
161	0
162	1.59459459459459
163	0
164	0
165	0
166	0
167	1
168	2
169	0
170	0
171	1.72727272727273
172	1.72727272727273
173	0
174	0
175	0
176	1.5
177	0.928571428571429
178	0.693989071038251
179	0
180	0
181	0.693989071038251
182	0
183	0
184	0
185	0
186	0
187	2.69398907103825
188	0.928571428571429
189	13.714406847559
190	3.58441558441558
191	1.59459459459459
192	1.3879781420765
193	0
194	8.45070422535211
195	0.428571428571429
196	0
197	1.59459459459459
198	0
199	2.28858366563285
200	0
201	2.17523975588492
202	0
