distance_to_3_end	read_number
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	1.85714285714286
56	0.444444444444444
57	0
58	0
59	0
60	1.85714285714286
61	0
62	0
63	3
64	5.33333333333333
65	0
66	1.04
67	0
68	0
69	0
70	0
71	0
72	1
73	0
74	0
75	0
76	0
77	0.52
78	0.551724137931034
79	1.47058823529412
80	0
81	0
82	1
83	0
84	0
85	0
86	0
87	0
88	2
89	0
90	0
91	1.24137931034483
92	0
93	1.47058823529412
94	1.33333333333333
95	0
96	1
97	2.2483660130719
98	0
99	0
100	0.222222222222222
101	1
102	3.52380952380952
103	0.777777777777778
104	0.358056265984655
105	0
106	2.46402389356503
107	0.52
108	0
109	0.222222222222222
110	1.66666666666667
111	0
112	0
113	1.47058823529412
114	0
115	0
116	0
117	0
118	0
119	0.444444444444444
120	0
121	0
122	0
123	0
124	0
125	0.777777777777778
126	0
127	0
128	4.47058823529412
129	0
130	0
131	3.73913043478261
132	0
133	0
134	3
135	0
136	0
137	0
138	2
139	0
140	3.75487846627867
141	0
142	0
143	0
144	7.6280193236715
145	0
146	3.07936507936508
147	0
148	0
149	2.73913043478261
150	7.47246376811594
151	1.66666666666667
152	0.777777777777778
153	265.990588235294
154	0
155	2.96135265700483
156	1.33333333333333
157	1
158	0
159	1.85714285714286
160	0
161	3.5
162	0
163	0
164	0
165	2.13333333333333
166	0
167	3.73913043478261
168	0
169	0
170	0
171	5.47826086956522
172	0
173	0
174	2.8
175	0
176	0.222222222222222
177	1.44827586206897
178	0
179	6.20971867007673
180	0
181	0
182	2.73913043478261
183	0.5
184	0
185	0
186	2
187	1.33333333333333
188	0
189	0.8
190	2.7816091954023
191	0
192	0
193	0
194	0
195	0.333333333333333
196	0
197	0
198	0
199	2.06666666666667
200	0
201	0
202	1.85714285714286
203	2.24827586206897
204	0
