distance_to_3_end	read_number
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	1
49	0
50	0
51	0
52	1.28571428571429
53	0
54	0
55	0
56	0
57	0
58	10
59	0
60	0
61	0
62	1
63	3.85714285714286
64	2.28571428571429
65	0
66	0
67	0
68	0
69	1
70	0
71	1.28571428571429
72	0
73	45.4558139534884
74	20
75	0
76	0
77	4
78	22.2162162162162
79	0
80	0
81	0
82	0
83	1.34375
84	0
85	0
86	0
87	0
88	0
89	1
90	1.2
91	2.9
92	2
93	0
94	1
95	0
96	0
97	2.5
98	0
99	0
100	0
101	1
102	0
103	0.6875
104	1
105	0
106	0
107	0
108	0
109	0
110	0
111	0
112	0
113	0
114	0
115	0.972222222222222
116	0
117	0
118	2.625
119	0
120	4.38461538461539
121	0
122	0
123	0
124	0
125	0
126	1.28571428571429
127	0
128	0
129	0
130	0
131	0
132	0
133	0
134	0
135	0
136	3
137	0
138	0
139	50.9090909090909
140	0.6875
141	0
142	0
143	1
144	0
145	0
146	0
147	0
148	3.85714285714286
149	0
150	1.28571428571429
151	1
152	0
153	0
154	0
155	1.0054347826087
156	0
157	0
158	0
159	0
160	0
161	0
162	1.2
163	0.34375
164	1.55238095238095
165	0
166	0
167	2.9
168	0
169	0
170	0
171	0
172	0
173	0
174	0
175	0
176	0
177	1.25
178	0
179	1
180	0
181	2.5
182	0
183	1
184	1.625
185	0
186	0
187	1.04285714285714
188	2.625
189	0
190	1.5
191	0
192	0
193	0
194	0
195	0
196	0
197	0
198	0
199	0
200	0
201	0
202	0
203	0
204	0
205	0
206	0
207	0
208	0
209	0
210	0
211	0
212	0
213	0
214	0
215	0
216	0
217	0
218	0
219	0
220	0
221	0
222	3.7027027027027
223	0
224	22.2162162162162
225	11.1081081081081
226	5.7027027027027
227	0
228	0.34375
229	9.97683397683398
230	45.6324324324324
231	7.40540540540541
232	0
233	0
234	2.06060606060606
