distance_to_3_end	read_number
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	7.79090909090909
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	6.5
52	0
53	0.98876404494382
54	1.55916305916306
55	0.49438202247191
56	4.9438202247191
57	0.49438202247191
58	0
59	0
60	1.66666666666667
61	0
62	0
63	0
64	0
65	0
66	1.55769230769231
67	1.5
68	0.98876404494382
69	0
70	0
71	0
72	2.9
73	0
74	0
75	21.5666666666667
76	0
77	2.29411764705882
78	0
79	1.48314606741573
80	0
81	0.49438202247191
82	0
83	1
84	0
85	3.6
86	0
87	1.5
88	1
89	0.49438202247191
90	2
91	6.6
92	7.2
93	0.98876404494382
94	0.666666666666667
95	1
96	0.98876404494382
97	0.98876404494382
98	0
99	0
100	1.78846153846154
101	1.5
102	3.6
103	1.93650793650794
104	0
105	0
106	3.8
107	0
108	0
109	0
110	0
111	3.4
112	0.49438202247191
113	2.67769230769231
114	2.66666666666667
115	2.58333333333333
116	0
117	23.2359550561798
118	0
119	0
120	1
121	0
122	0
123	0
124	1
125	2.08876404494382
126	0.98876404494382
127	0
128	1
129	12.3887640449438
130	1.3125
131	1.97752808988764
132	0.49438202247191
133	0
134	0
135	5.93258426966292
136	0
137	2.29411764705882
138	0
139	0
140	0
141	0
142	1.5
143	0
144	0
145	1.44444444444444
146	0
147	1.55769230769231
148	0
149	4.86
150	1.17647058823529
151	1
152	0
153	0
154	0
155	0
156	2.66666666666667
157	0
158	0
159	0
160	0
161	0
162	2.09102564102564
163	1.19318181818182
164	1.66666666666667
165	1.66666666666667
166	0
167	0
168	0
169	0
170	0
171	1.66666666666667
172	0
173	0
174	0
175	1
176	0
177	0
178	0
179	0
180	1.39622641509434
181	0.350649350649351
182	1.66666666666667
183	0
184	1.66666666666667
185	0
186	0
187	0
188	0
189	5.33333333333333
190	0
191	0
192	0
193	1
194	3.33333333333333
195	0
196	0
197	0
198	0
199	1
200	0
